oldID,ID,work_name,pen_name,real_name,viaf,century,gender,rank
ahi__15,150001,Ahî Dîvânı,Ahî,Mevlânâ,http://viaf.org/viaf/281501561,15,male,Scholars & Sufi Orders
bahti__17,170001,Bahtî Dîvânı,Bahtî,Sultan I. Ahmed,http://viaf.org/viaf/282581353,17,male,Sultan
beyani__16,160001,Beyânî Dîvânı,Beyânî,Mustafa (Cârullahzâde),http://viaf.org/viaf/306112406,16,male,Judiciary & Religious Office
durri_ahmed__18,180001,Dürri Ahmmet Dîvânı,Dürrî;Vâfî,Dürrî Ahmed Efendi,http://viaf.org/viaf/193548477,18,male,High Bureaucracy/Military
emri__16,160002,Emrî Dîvânı,Emrî,Emrullah Emrî,http://viaf.org/viaf/107148977,16,male,Civil Bureaucracy
fevzi__17,170002,Fevzî Dîvânı,Fevzî,İstanbullu Hacı Mehmet Ağa,http://viaf.org/viaf/253147266788635481527,17,male,Lay/Non-official
gelibolulu_sururi__16,160003,Gelibolulu Sürûrî Dîvânı,Gelibolulu Sürûrî,Muslihiddin Mustafa Sürûrî,http://viaf.org/viaf/68483252,16,male,Judiciary & Religious Office
hakiki__15,150002,Hakîkî Dîvânı,Hakîkî,Yusuf-ı Hakîkî,http://viaf.org/viaf/26800380,15,male,Lay/Non-official
hamamizade__19,190001,Hamamizâde Dîvânı,Hamamizâde,Mehmed İhsan Hamamizâde,http://viaf.org/viaf/74287871,19,male,Lay/Non-official
hecri__16,160004,Hecrî Dîvânı,Hecrî,Muhyiddin Mehmed (Kara Çelebî),http://viaf.org/viaf/11150686613312542922,16,male,Civil Bureaucracy
hudayi__16,160005,Hüdâyî Dîvânı,Hüdâyî,Aziz Mahmud Hüdâyî,http://viaf.org/viaf/140016457,16,male,Scholars & Sufi Orders
lazikizade_feyzullah__18,180002,Lâzikizâde Feyzullah Dîvânı,Lâzikizâde Feyzullah,Feyzullah Nâfîz Lâzikizâde,http://viaf.org/viaf/68851311,18,male,Judiciary & Religious Office
lebib__18,180003,Lebib Dîvânı,Lebib,Lebîb-i Âmidî (Kara Vâiz),http://viaf.org/viaf/21165624630042240561,18,male,Lay/Non-official
mani__17,170003,Mânî Dîvânı,Mânî,Mehemmed (Şeyh Mehemmed & Mehemmed Çelebi),no,17,male,Lay/Non-official
muhibbi__16,160006,Muhibbî Dîvânı,Muhibbî,Sultan I. Süleyman,http://viaf.org/viaf/89743257,16,male,Sultan
naili__17,170004,Nâilî Dîvânı,Nâilî,Mustafa,http://viaf.org/viaf/208852438,17,male,Judiciary & Religious Office
nesati__17,170005,Neşâtî Dîvânı,Neşâtî,Ahmed,http://viaf.org/viaf/60000609,17,male,Scholars & Sufi Orders
nigari__19,190002,Nigârî Dîvânı,Nigârî,eş-Şeyh Seyyid Hamza Karabağî,http://viaf.org/viaf/15957306,19,male,Lay/Non-official
